NO.,ITEM,QTY,UNIT,SAFETY STOCK,INDICATOR
1,Gerinda Potong 4x1,9,PCS,10,RE-STOCK
2,"Gerinda Poles 4""",9,PCS,5,AMAN
3,"Gerinda Poles 6""",3,PCS,3,RE-STOCK
4,Gerinda Amplas Flapdisc #100,4,PCS,5,RE-STOCK
5,"Gerinda Flexible 4""",7,PCS,5,AMAN
6,Skotch-Brite,1,LBR,3,RE-STOCK
7,"Cutting Wheel 16""",1,PCS,2,RE-STOCK
8,"Cutting Wheel 14""",1,PCS,2,RE-STOCK
9,Sarung Tangan,3,LSN,2,AMAN
10,Masker 3 Ply,1,BOX,1,RE-STOCK
11,Kaca Las Bening,7,PCS,5,AMAN
12,Kaca Las Hitam No.9,5,PCS,5,RE-STOCK
13,Kaca Las Hitam No.10,7,PCS,5,AMAN
14,Kaca Las Hitam No.11,12,PCS,5,AMAN
15,Tap Matic Yecoa,1,KLG,1,RE-STOCK
16,Carbon Brush - CB459,1,PCS,1,RE-STOCK
17,"Tungsten 2,4",3,PCS,3,RE-STOCK
18,"Tungsten 1,6",6,PCS,3,AMAN
19,Nozzle Las CO2 - 350A,1,PCS,2,RE-STOCK
20,Contactip CO Pendek ∅0.8,3,PCS,2,AMAN
21,Contactip CO Panjang ∅0.8,1,PCS,2,RE-STOCK
22,Spidol Marking,1,PCS,1,RE-STOCK
23,"Lakban Kertas 1""",1,PCS,1,RE-STOCK
24,"Lakban Kertas 2""",1,PCS,1,RE-STOCK
25,Lakban Nito Hitam,0,PCS,1,RE-STOCK
26,"Reffil Roll Cat 4""",5,PCS,3,AMAN
27,"Kuas 2""",0,PCS,1,RE-STOCK
28,"Kuas 1""",0,PCS,1,RE-STOCK