NO.,TANGGAL (PR),DESCRIPTION,PROJECT,QTY,UNIT,HARGA,SUBTOTAL,"CEK
LIST",SUPPLIER
1,2/8/26,KABEL NYYHY 4 X 2.5,067/25,1,ROL,"Rp35,000","Rp35,000",BELUM,BORNEO
2,2/8/26,KABEL YSLY 10 X 0.5,067/25,2,ROL,"Rp26,000","Rp52,000",SUDAH,CIKARANG LISTRIK
3,2/8/26,"FLEXSIBLE CONDUIT 1/2""",067/25,12,MTR,"Rp12,000","Rp144,000",BELUM,BORNEO
4,2/8/26,"GLEN KABEL BESI 1/2""",067/25,2,PCS,"Rp11,000","Rp22,000",BELUM,BORNEO
5,2/8/26,"KAWAT LAS UMPAN ⌀ 1,6 STAINLESS",STOCK UPE,1,KG,"Rp125,000","Rp125,000",BELUM,BORNEO
6,2/8/26,TUNGSTEN ⌀ 2.4,UPE,4,PCS,"Rp20,000","Rp80,000",BELUM,BORNEO
7,2/8/26,STOP KONTAK BROCO 4 LUBANG,UPE,1,PCS,"Rp40,000","Rp40,000",BELUM,BORNEO
8,2/8/26,INSHERT MILLING (SAMPLE),UPE,5,PCS,"Rp15,000","Rp75,000",BELUM,ELOK TEKNIK
9,2/8/26,"CUTTING 4"" STEEL",UPE,10,PCS,"Rp2,500","Rp25,000",BELUM,BORNEO
10,2/8/26,"LAKBAN KERTAS 1""",UPE,2,PCS,"Rp8,000","Rp16,000",BELUM,BORNEO