NO.,DESCRIPTION ,PROJECT,UNIT,HARGA , SUPPLIER
193,CAT NIPPE - BALTIC WHITE,PROJECT WASHING - 071/25,KLG,"Rp95,000", INDAH JAYA
194,THINNER NIPPE ,PROJECT WASHING - 071/25,GLN,"Rp130,000", INDAH JAYA
195,KAWAT LAS RB 26 ∅3.2,PROJECT SILO BOGASARI CILINCING,BOX,"Rp150,000", BORNEO
196,KAWAT LAS LB 52 ∅3.2,PROJECT SILO BOGASARI CILINCING,BOX,"Rp200,000", BORNEO
197,MATERAI 10.000,UPE - OFFICE,PCS,"Rp11,000", LOTUS STATIONERY
198,TUNG STEN 2.4mm,UPE - CUTTING STOCK,PCS,"Rp20,000", BORNEO
199,"SKUN Y 1,25 - 3",PROJECT WASHING 071/25,PAK,"Rp22,000", OMEGA
200,"LAKBAN KERTAS 1"" DAIMARU",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
201,KACA LAS HITAM NO.9 ,UPE - CUTTING STOCK, PCS,"Rp5,000", BORNEO
202,"CUTTING 4"" - STEEL",UPE - CUTTING STOCK, PCS,"Rp2,500", BORNEO
203,KABEL NYAF 0.5 - BIRU,076/25,ROLL,"Rp260,000", JB ELEKTRIK
204,"POLES 4"" - NRS",UPE - CUTING TOOLS, PCS,"Rp11,000", BORNEO
205,"FLAPDISC 4"" - GR  100",UPE - CUTING TOOLS, PCS,"Rp8,000", BORNEO
206,TAP MATIC - YECOA,UPE - CUTING TOOLS,KLG,"Rp76,000", BORNEO
207,"SARUNG TANGAN ABU"" - 5B",UPE - CUTING TOOLS,LSN,"Rp19,000", BORNEO
208,MC GERINDA TANGAN - M0900B,UPE - ALAT KERJA,SET,"Rp375,000", BORNEO
209,"KAWAT LAS ARGON TGS-50 ∅2,0",074/25,KG,"Rp125,000", BORNEO
210,Sealant putih : 2 btl,Pos TL CBU SIM GIIC,BTL,"Rp25,000", BORNEO
211,Paku ripet 4mm,Pos TL CBU SIM GIIC, PCS,Rp250, BORNEO
212,"Grendel + gembok 4""",Pos TL CBU SIM GIIC, PCS,"Rp51,000", BORNEO
213,Dempul Sanpolac 1kg,Pos TL CBU SIM GIIC,SET,"Rp60,000", BORNEO
214,Kape dempul - PVC,Pos TL CBU SIM GIIC, PCS,"Rp3,000", BORNEO
215,Cat Ftalite BRIGHT GREEN,Pos TL CBU SIM GIIC,KLG,"Rp80,000", BORNEO
216,LONG DRAT M14 HITAM,ADM measuring, PCS,"Rp55,000", BORNEO
217,TRIPLEK MELAMIN 3mm,Pos TL CBU SIM GIIC,LBR,"Rp140,000", INDAH JAYA
218,BAUT JP M4X10 GALV,074/25, PCS,Rp100, BORNEO
219,STOPER BESI,074/25,PCS,"Rp2,000", GMP/JB
220,KERTAS A4,UPE - OFFICE,RIM,"Rp38,000", LOTUS
221,TUBBING ADDRES ∅3mm,074/25, MTR,"Rp4,500", OMEGA/JB/GMP
222,TB BLOK FJD-15W TINGKAT,074/25, PCS,"Rp5,600", GMP/JB
223,"ENGSEL KUPU"" 2"" SOLIDGEN",074/25,SET,"Rp15,000", INDAH JAYA
224,ENDMIL CARBIDE ⌀10 - 2 FLUTE - SECOND,UPE - MACHINING,PCS,"Rp200,000", ELOK/LAMPURA
225,"CUTTING 4"" - STEEL",UPE - CUTTING TOOLS,PCS,"Rp2,500", BORNEO
226,"CUTTING 16"" - NRS",UPE - CUTTING TOOLS,PCS,"Rp60,000", BORNEO
227,KABEL DUCT 33X66,076/25,BTG,"Rp40,000", GMP/JB
228,B L SUS M12X30 RVRP,076/25,PCS,"Rp8,900", BORNEO
229,NUT M12 SUS,076/25,PCS,"Rp4,000", BORNEO
230,B L SUS M5X10 RVRP,076/25,PCS,"Rp2,000", BORNEO
231,B L SUS M6X15 RVRP,076/25,PCS,"Rp1,800", BORNEO
232,B L SUS M5X35 RVRP,076/25,PCS,"Rp2,500", BORNEO
233,B L SUS M5X15 RVRP,076/25,PCS,"Rp2,100", BORNEO
234,B L SUS M4X10 RVRP,076/25,PCS,"Rp1,800", BORNEO
235,B L SUS M6X20 RVRP,076/25,PCS,"Rp2,500", BORNEO
236,B L SUS M6X25 RVRP,076/25,PCS,"Rp2,500", BORNEO
237,B L SUS M8X15 RVRP,076/25,PCS,"Rp3,500", BORNEO
238,B L SUS M8X35 RVRP,076/25,PCS,Rp300, BORNEO
239,"KAWAT LAS ARGON ⌀1,6 - TGS50",074/25,KG,"Rp115,000", BORNEO
240,ODNER A4 - HTM,UPE - OFFICE,PCS,"Rp35,000", LOTUS
241,"ULTRAFLEX 4"" - AC",UPE - CUTTING STOCK,PCS,"Rp8,000", BORNEO
242,CB-459 - MAKITA,UPE - CUTTING STOCK,PCS,"Rp30,000", BORNEO
243,B L SUS M8X15 RVRP,076/25, PCS,"Rp3,500", BORNEO
244,RED SILICON - UKURAN PASTA,076/25,PCS,"Rp18,000", BORNEO
245,KUNCI L 4mm,UPE - FABRIKASI,PCS,"Rp15,000", BORNEO
246,KERTAS A4 - COPY PAPPER,UPE - OFFICE,RIM,"Rp38,000", LOTUS
247,ISI CUTTER BESAR,UPE - OFFICE,PAK,"Rp7,000", LOTUS
248,MATA BOR ⌀4.5 NACHI,UPE - CUTTING STOCK,PCS,"Rp25,000", BORNEO
249,MATA BOR ⌀5 NACHI,UPE - CUTTING STOCK,PCS,"Rp29,000", BORNEO
250,MATA BOR ⌀6 NACHI,UPE - CUTTING STOCK,PCS,"Rp39,180", BORNEO
251,MATA BOR ⌀6.8 NACHI,UPE - CUTTING STOCK,PCS,"Rp59,581", BORNEO
252,MATA BOR ⌀8 NACHI,UPE - CUTTING STOCK,PCS,"Rp61,828", BORNEO
253,MATA BOR ⌀8.5 NACHI,UPE - CUTTING STOCK,PCS,"Rp73,816", BORNEO
254,MATA BOR ⌀10 NACHI,UPE - CUTTING STOCK,PCS,"Rp102,598", BORNEO
255,"SOK DRAT 1"" BIASA",073/25, PCS,"Rp35,000", BORNEO
256,LONGDRAT M6 galv,073/25,BTG,"Rp7,000", BORNEO
257,NUT M6 galv,073/25,PCS,Rp800, BORNEO
258,MATA BOR ⌀4.5 NACHI,UPE - CUTTING STOCK,PCS,"Rp25,000", BORNEO
259,MATA BOR ⌀6 NACHI,UPE - CUTTING STOCK,PCS,"Rp39,180", BORNEO
260,MATA BOR ⌀10 NACHI,UPE - CUTTING STOCK,PCS,"Rp102,598", BORNEO
261,BATERAI JAM UNTUK KALIPER (SAMPLE) ,UPE - CUTTING STOCK,PCS,"Rp5,000", IDOLA
262,"CUTTING 4"" - STEEL",UPE - CUTTING STOCK, PCS,"Rp2,500", BORNEO
263,"ULTRAFLEX 4"" AC",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
264,"FLAPDISC 4"" #100",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
265,"SARUNG TANGAN ABU""",UPE - CUTTING STOCK,LSN,"Rp19,000", BORNEO
266,"LAKBAN KERTAS 1""",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
267,"LAKBAN KERTAS 2""",UPE - CUTTING STOCK, PCS,"Rp10,000", BORNEO
268,B L SUS M5X7 (/10) + RV + RP,076/25, PCS,"Rp2,000", SUMBER JAYA BAUT
269,HAND TAP M8 - SECOND,UPE - MACHINING,PCS,"Rp35,000", ELOK/LAMPURA
270,SIL TIP ONDA,UPE - CUTTING STOCK,PCS,"Rp5,000", BORNEO
271,MATERAI 10.000,UPE - OFFICE, PCS,"Rp11,000", LOTUS
272,LIS U ALUMUNIUM 3/8”,POS TL CBU,BTG,"Rp40,000", MIKO ALUMUNIUM
273,HAND TAP M5 - second,UPE - MACHINING, PCS,"Rp25,000", ELOK/LAMPURA
274,MATABOR RECOIL M5 + RECOIL NEW,UPE - MACHINING, PCS,"Rp195,000", BORNEO
275,"SOK DRAT SUS 1""",076/25, PCS,"Rp35,000", BORNEO
276,"SOK DRAT SUS 1"" 1/4”",076/25, PCS,"Rp45,000", BORNEO
277,ODNER A4 - HTM,UPE - OFFICE,PCS,"Rp35,000", LOTUS
278,B L M6X20 RV RP HTM,074/25,PCS,Rp650, BORNEO
279,SIL TIP ONDA,076/25,PCS,"Rp5,000", BORNEO
280,THINNER IMPALA,076/25,GLN,"Rp145,000", BORNEO/INDAH JAYA
281,CAT NIPPE 2000 - BALTIC WHITE,074/25,KLG,"Rp95,000", BORNEO/INDAH JAYA
282,SPROCKET 50-17-1R,073/25, PCS,"Rp44,100", SETIAWAN TEKNIK
283,MATABOR RECOIL M5 + RECOIL NEW,UPE - MACHINING, PCS,"Rp200,000", BORNEO
284,"CUTTING 4"" STEEL",UPE - CUTTING STOCK, PCS,"Rp2,500", BORNEO
285,"POLES 4"" NRS",UPE - CUTTING STOCK, PCS,"Rp11,000", BORNEO
286,"ULTRAFLEX 4""",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
287,B JP M5X10 GALV,073/25, PCS,Rp100, BORNEO
288,B L M10X30 RV RP HTM,074/25, PCS,"Rp2,050", BORNEO
289,B L M8X20 RV RP HTM,074/25, PCS,"Rp1,100", BORNEO
290,B L M8X15 RV RP HTM,074/25, PCS,"Rp1,150", BORNEO
291,SPROCKET 50-18-1R,073/25, PCS,"Rp52,200", SETIAWAN TEKNIK
292,"PUSHLOCK PANEL 4""",073/25 & 074/25,SET,"Rp88,000", BORNEO
293,MATA BOR DIA.12 NACHI,UPE - CUTTING STOCK, PCS,"Rp150,814", BORNEO
294,"REFIL ROL CAT 4""",UPE - CUTTING STOCK, PCS,"Rp10,000", BORNEO/INDAH JAYA
295,CAT  NIPPE EPOXY ,002/26,KG,"Rp95,000", BORNEO/INDAH JAYA
296,CAT NIPPE 2000 - TAXI YELLOW,002/26,KG,"Rp95,000", BORNEO/INDAH JAYA
297,THINNER NIPPE - 1 LTR,002/26,KLG,"Rp33,000", BORNEO/INDAH JAYA
298,RELAY MY4N + SOCKET,002/26,SET,"Rp48,000", GMP LIPPO
299,GLAN PLASTIK - PG 16 PUTIH,074/25, PCS,"Rp3,000", OMEGA TEKNIK
300,GLAN PLASTIK - PG 21 PUTIH,074/25, PCS,"Rp4,500", OMEGA TEKNIK
301,MARKING TUBE 3mm PUTIH,073/25,MTR,"Rp4,500", OMEGA TEKNIK
302,AWG 22 BIRU,073/25,ROLL,"Rp159,000", CIKARANG LISTRIK
303,B L M10X40 RV RP HTM,074/25,PCS,"Rp2,188", ANEKA BAUT
304,B JP M4X10 GALV,075/25, PCS,Rp100, ANEKA BAUT
305,AWG 22 BIRU,073/25,ROLL,"Rp159,000", CIKARANG LISTRIK
306,SPIRAL KS - 8,074/25,PAK,"Rp18,000", BORNEO
307,SKUN JUMPER TERMINAL BLOCK KAKI 6,073/25,PCS,"Rp5,000", GMP
308,REGULATOR CO2 - ASANO,UPE - FABRIKASI,SET,"Rp160,000", BORNEO
309,"MATA BOR NACHI - DIA. 5,2",UPE - MACHINING,PCS,#ERROR!, BORNEO
310,"CUTTING 4"" - STEEL",UPE - CUTTING STOCK,PCS,"Rp2,500", BORNEO
311,"POLES 4"" - NRS",UPE - CUTTING STOCK,PCS,"Rp11,000", BORNEO
312,"ULTRAFLEX 4""",UPE - CUTTING STOCK,PCS,"Rp8,000", BORNEO
313,"CUTTING WHEEL 16""",UPE - CUTTING STOCK,PCS,"Rp60,000", BORNEO
314,MASKER - HITAM,UPE - CUTTING STOCK,BOX,"Rp20,000", BORNEO
315,HOLE SAW DIA.30,UPE - ELEKTRIK,SET,"Rp45,000", BORNEO
316,B COUNTERSINK M4X10 HITAM,074/25, PCS,Rp200, BORNEO
317,B COUNTERSINK M6X10 HITAM,074/25, PCS,Rp400, BORNEO
318,NUT M5 HITAM,074/25, PCS,Rp350, SUMBER JAYA BAUT
319,NUT M6 HITAM,074/25, PCS,Rp200, ANEKA BAUT
320,NUT M8 HITAM,074/25, PCS,Rp400, ANEKA BAUT
321,NUT M10 PUTIH,074/25, PCS,Rp250, ANEKA BAUT
322,NUT M5 HITAM,074/25, PCS,Rp350, SUMBER JAYA BAUT
323,LIMIT SWITCH SAIKO D4MC-2000,073/25 & 074/25, PCS,"Rp40,000", GMP LIPPO
324,"LAKBAN KERTAS 1""",UPE, PCS,"Rp8,000", BORNEO
325,"KUAS 2""",UPE, PCS,"Rp5,000", BORNEO
326,"POLES 4"" - I-PRIX",UPE,PCS,"Rp5,000", BORNEO
327,"FLEXSIBLE 4"" AC - I-PRIX",UPE,PCS,"Rp6,000", BORNEO
328,"CUTTING 4"" - I-PRIX",UPE,PCS,"Rp2,500", BORNEO
329,HAND TAP M4 - YAMAWA NEW - BARU,UPE,SET,"Rp222,500", BORNEO
330,KABEL AWG 22 - BIRU,073/25,ROLL,"Rp159,000",CIKARANG LISTRIK
331,"FLEXSIBLE CONDUIT 1/2""",073/25,ROLL,"Rp401,500",GMP LIPPO
332,"FLEXSIBLE CONDUIT 3/4""",073/25,ROLL,"Rp484,000",GMP LIPPO
333,JUNCTION BOX - TIBOX - TJ10P,073/25,PCS,"Rp152,000",GMP LIPPO
334,"KABEL NYAF BIRU 1X0,5",073/25,ROLL,"Rp209,500",GMP LIPPO
335,SKUN JUMPER - KAKI 6,073/25,PCS,"Rp5,000",GMP LIPPO
336,"MATA GERINDA CUTTING 4"" - STEEL",UPE - CUTTING STOCK,PCS,"Rp2,500",BORNEO
337,"MATA GERINDA POLES 4"" - NRS",UPE - CUTTING STOCK,PCS,"Rp11,000",BORNEO
338,"LAKBAN KERTAS 1"" - DAIMARU",UPE - CUTTING STOCK,PCS,"Rp8,000",BORNEO
339,"DOUBLE NEPPLE GALV - 1/4""",076/25,PCS,"Rp15,000",HOKI JAYA HOSINDO
340,RUMPUT GAJAH,UPE - HALAMAN DEPAN,MTR,"Rp50,000",TOKO TANAMAN
341,SNAPRING E4,076/25,PCS,Rp600,MITRA BAUT
342,TAP M4 YAMAWA - ISI 3,UPE - STOCK,SET,"Rp222,500",BORNEO
343,"MATA BOR DIA. 5,2 - NACHI",UPE - STOCK,PCS,"Rp42,079",BORNEO
344,RUMPUT GAJAH,UPE - HALAMAN DEPAN,MTR,"Rp50,000",TOKO TANAMAN
345,SNAPRING E4,076/25,PCS,Rp600,MITRA BAUT
346,TAP M4 YAMAWA - ISI 3,UPE - STOCK,SET,"Rp222,500",BORNEO
347,"MATA BOR DIA. 5,2 - NACHI",UPE - STOCK,PCS,"Rp42,079",BORNEO
348,TAP M5 YAMAWA - TAP MESIN,UPE - STOCK,PCS,"Rp105,000",BORNEO
349,SKUN Y - 1.25 -3 YSA,075/25,SET,"Rp22,000",GMP / OMEGA
350,CABLE AWG 22 - BLUE,075/25,ROLL,"Rp159,000",CIKARANG LISTRIK
351,THINNER NIPPE - 1 LTR,TTEC,KLG,"Rp34,000",INDAH JAYA
352,ISOLASI NITO HITAM,UPE,PCS,"Rp9,000",BORNEO
353,CAT NIPPE 2000 - TAXI YELLOW,TTEC,KLG,"Rp95,000",INDAH JAYA
354,MATA BOR DIA. 6 - NACHI,UPE - STOCK,PCS,"Rp47,780",BORNEO
355,"MATA BOR DIA. 6,8 - NACHI",UPE - STOCK,PCS,"Rp72,660",BORNEO
356,TERMINAL BLOCK - FJD15 W,075/25,PCS,"Rp5,500",GMP
357,ENG PLATE - FJD15W1.2,075/25,PCS,"Rp2,000",GMP
358,STOPPER BESI,075/25,PCS,"Rp2,000",GMP
359,"CABLE JEMBO NYAF 1 X 0,5 BLUE",075/25,ROLL,"Rp209,500",GMP
360,B L M3X15 RV RP SUS,076/25,PCS,"Rp1,800",BORNEO
361,B L BUTTONHEAD M5X10 SUS,076/25,PCS,"Rp2,100",BORNEO
362,B HEX M8X50 HITAM / PUTIH,073/25,PCS,"Rp1,050",BORNEO
363,B L M6X25 RV RP HITAM,073/25,PCS,Rp500,BORNEO
364,B L M6X15 RV RP HITAM,073/25,PCS,Rp833,BORNEO
365,B L M6X20 RV RP HITAM,073/25,PCS,Rp650,BORNEO
366,B L M6X10 RV RP HITAM,073/25,PCS,Rp500,BORNEO
367,B L M8X15 RV RP HITAM,073/25,PCS,"Rp1,050",BORNEO
368,B L M8X15 RV RP HITAM,073/25,PCS,"Rp1,050",BORNEO
369,B L M10X15 RV RP HITAM,073/25,PCS,"Rp2,000",BORNEO
370,B BUTTONHEAD M10X15 HITAM,073/25,PCS,"Rp2,000",BORNEO
371,B L M4X10 RV RP HITAM,073/25,PCS,Rp500,BORNEO
372,PILOX HITAM DOFF,073/25,KLG,"Rp33,000",INDAH JAYA
373,B L M5X10 HITAM,074/25,PCS,Rp500,BORNEO
374,SET SCREW M6X20,074/25,PCS,"Rp1,000",BORNEO
375,SET SCREW M8X20,074/25,PCS,"Rp1,200",BORNEO
376,KAWAT LAS RB 26 DIA. 2.6,UPE - STOCK,PACK,"Rp150,000",BORNEO
377,CONNECTOR LAS (SAMPLE),UPE - STOCK,SET,"Rp20,000",BORNEO
378,SNAI M6X1 - SKC/TEKIRO,076/25,PCS,"Rp50,000",BORNEO
379,"MATA BOR DIA. 4,2 - NACHI",UPE - STOCK,PCS,"Rp34,460",BORNEO
380,MATERAI 10.000,UPE - OFFICE,PCS,"Rp11,000",LOTUS
381,CLIP KERTAS,UPE - OFFICE,PACK,"Rp10,000",LOTUS
382,B L M6X10 RV RP SUS,076/25,PCS,Rp700,BORNEO
383,INSULATOR 350A,UPE - STOCK,PCS,"Rp28,000",TOKO 8
384,CONNICAL NOZZLE LAS 350A,UPE - STOCK,PCS,"Rp35,000",TOKO 8
385,TIP HOLDER 350A DRAT LUAR,UPE - STOCK,PCS,"Rp23,000",TOKO 8
386,CONTACTIP 0.8mm,UPE - STOCK,PCS,"Rp11,000",TOKO 8
387,INSHERT BUBUT ,UPE - MACHINING,PCS,"Rp19,000",ELOK/LAMPURA
388,MATA BOR DIA. 5 - NACHI,UPE - STOCK,PCS,"Rp36,500",BORNEO
389,"CUTTING 4"" - STEEL",PIPA AIR BERSIH - ASA,PCS,"Rp2,500",BORNEO
390,"FLAPDISC 4"" #100 - TAIYO",UPE - STOCK,PCS,"Rp8,000",BORNEO
391,EYEBOLT M6 - GALV,075/25,PCS,"Rp11,000",SUMBER JAYA 
392,B L M8X15 RV RP HTM,074/25,PCS,"Rp1,300",BORNEO
393,"SIL KARET 1 1/4""",076/25,PCS,"Rp4,000",SENTRA SEAL